createtime,creator_qq,creator_name,creator_isVip,dissid,dissname,listennum
2020-06-01,1542897217,音为有你,0,7540641459,超燃欧美Music 提升肾上腺素,16485159
2020-01-14,3077344505,精彩华辉,0,7271994513,催泪系列 | 失恋时建议不要去听,24810451
2019-09-24,3269668970,绪井奈奈未,2,7224170219,米津玄师 | 孤独天才的万丈温柔,6301858
2020-10-27,508312226,颜瑟.,0,7760717202,伤感片段：你是我贪恋的人间烟火,1690208
2020-07-01,1950666740,★、╰︶,2,7601045106,米津玄师 · 孤独里的寂寞烟火,2703985
2020-10-03,3244149336,鹤辞。,0,7737233393,“天晴了，而你还会回来吗”,1863957
2020-10-15,166191624,经典小当家,0,7746554330,旧时遗忘的过去，能否再次找回？,550112
2019-06-25,2982854755,算法火星哥,2,7060356689,蒙面唱将猜猜猜 | LIVE版精选辑,2904812
2020-08-11,1152921505008368046,顾辞.,0,7617467932,歌单：也许这就是爱情吧,5683693
2019-12-24,1186085891,要成为歌单王的男人,0,7347300964,肖战 | 一笑悬命的少年,7327666
2020-08-13,2030402442,Oblivion.¹³¹⁴,0,7675468697,超燃舞曲┃ 听说你想嗨到火星？,744308
2020-04-28,1412551943,收集星星“🌟”,0,7327965236,甜系女生：星河不及你的可爱,904995
2018-11-12,349915071,梅内斯,2,5137719959,苦涩Rap | 伤心的时候不要听 !,9905770
2016-10-20,449218160,933。,2,813783126,听了这些歌爱上了民谣,56975640
2017-07-26,2043898887,叮铃铃,2,2968770765,「欧美」节奏控首选，耐听神曲,18890205
2020-10-02,1152921505036041771,玖九9丶,0,7734050019,怀旧韩系 | 重温那些年的时代潮流,134478
2018-07-02,294109499,冷山集,0,4144081013,Trap Rap丨慵懒毒性的迷幻说唱,2993026
2020-05-20,2838048352,欲落,0,7570155999,超好听的中国风，都适合单曲循环,20975976
2020-05-29,452775188,还不是因为你长得不好看,2,7580864284,BLACKPINK出道四周年快乐！,9881402
2017-08-10,3554431134,微笑似年华,2,2067204248,一听就想运动，跟着节奏挥汗,3954756
2020-08-03,1152921504872162361,长街孤酒,0,7520963094,一曲惊鸿梦.古风醉人间,3784041
2020-08-05,3235957840,听,0,7664975759,温柔男音：是人间烟火亦是宝藏,1210936
2018-02-28,1262773020,𓅯存在𓆡,0,658033106,你已不在身边，我却彻夜想念,2255421
2020-03-11,3422928760,刚上完网课,0,7461724996,纯音 │ 放空心灵，回归自然之感,379778
2020-10-06,2378187899,识趣.,0,6871787164,[电竞] 打野 射手必须听的战歌,4108183
2020-04-15,1725067421,林夕,2,7514171023,古风女嗓 | 怎敌你眉间一朱砂,4113978
2017-05-22,728180304,安逸风丶昂小白ゞ,2,2054255153,100首Spotify排行榜推荐欧美歌曲,22437815
2020-09-12,497697572,柠檬少年,0,7713821833,枪声版丨吃鸡神器，音乐带你刚,202974
2020-10-13,406453542,小妖的破皇冠,0,7710773647,国语 | 听着歌 远离喧嚣和寂寞,3910947
2020-10-08,2747980541,♡,0,7742719665,片段：难不难过都是自己过.,771931
2020-02-28,3471611867,蜜桃果酱,0,7447798892,没什么事做，满脑子都是你,796966
2017-12-04,1812948313,私に闻いて风i,2,1789636404,站内评论999+超热日语精选,54307703
2017-07-27,2563666097,醉心琳琅,2,2970622459,300首欧美乐坛典藏精品：首首火遍全球,99247183
2020-06-18,1446887291,Addictedtomusic,0,7605521080,国语｜有些人 一转身就成了永远,13286340
2020-10-30,3429084452,自由摇摆节奏,0,7715823988,玉置浩二：“殿堂级”情歌天王,82988
2017-01-31,1165584850,Eyes,2,850420414,［超好听英语系强势来袭］绝不辜负耳朵,27702073
2020-04-26,994067892,醉挽清风＆,0,7466539716,古韵：唯愿诗意满人间,13318391
2020-09-18,2812190571,Cc,0,7457577258,片段 | 忙碌的生活也是一种乐趣,308024
2019-01-30,2630637570,绯离,0,6555496668,做我的猫 | 乖一点就抱你,3346306
2020-09-20,1152921504878700015,记得吃曜.,0,6878296713,霸气外漏 | 超拽背景音乐,111438
2020-03-09,2822129197,栖时,2,7264427386,待雪下时叙酣宴，请君饮杯霁夜茶,49822
2020-08-31,1752319892,仙晚,0,7693153852,轻柔小众 | 愿你遇见所有的甜,194033
2020-07-18,1587895789,🍃不朽ゞ,0,7642695693,【古风】人间恰似你的温柔,1326632
2019-09-30,1534433626,温柔,2,6255377857,吃鸡战歌 : 音乐响起 落地成王,7713597
2017-09-01,3050275225,温酒伴月落,2,2380029102,YouTube最快达到9亿点击量歌曲TOP 50,3573613
2020-07-31,1924768924,独醉,0,7658004977,『中文丧系歌曲』放飞心情吧！,3659
2020-04-25,739620118,安与.,0,7537817618,古风清灵女声 l 故人泪,8910891
2020-08-09,1152921504842294771,走心了吗,0,7670780780,『欧美』沁入人心的安静旋律,2109791
2020-03-10,2282114278,请君为我倾耳听,0,7467921385,精选免费下载的国风好歌,10732696
2020-09-28,2933328894,梦追,0,7717078709,劲爆 | 疲乏无感，嗨曲调调赶走,1322407
