,createtime,creator_qq,creator_name,creator_isVip,dissid,dissname,listennum
214,2019-12-11,2891427638,远方的琪琪,0,7334544754,遇见韩宝仪后，回忆都是粉红色,566046
215,2019-12-17,2685406571,综艺live王,0,7337211895,精选live ｜ 请收下这个毛不易,11067814
216,2017-08-10,1932639570,青春for young,2,874673790,「经典粤语」渐渐被遗忘的金曲,26804556
217,2020-08-27,584223742,白色大衣,0,7694635551,华语歌迷必备——李宗盛Top20,5808930
218,2017-02-24,1245280330,花痞,2,857253164,200首华语金曲，你一定在KTV点过这些歌,503838251
219,2017-01-17,2959134137,柳云歌,2,2945273090,回味经典！品尝岁月里的美酒,14000393
220,2020-09-18,3364217504,太郎.,0,7719472632,喜欢的歌静静听，喜欢的人静静看,2096138
221,2018-01-29,498877906,狗贼,0,2661465923,赵雷 · 你的民谣我的生活,2761115
222,2018-05-01,1433218437,猫九,0,2962708139,王者荣耀 | 峡谷乱杀必备BGM,7794272
223,2020-06-08,452775188,还不是因为你长得不好看,2,7593461012,《斗罗大陆》原声合集,2558824
224,2020-08-11,1152921504800972376,婉羽.,0,7627176238,"电竞｜超燃BGM,站在巅峰之颠",732633
225,2020-08-17,2162294687,清樱°,0,7681560478,【伤感片段】我曾几度的眼眶泛红,5158958
226,2020-07-26,1152921504842294771,走心了吗,0,7652168005,『戏腔』红妆已淡，戏涯已了,6956653
227,2020-02-27,3269668970,绪井奈奈未,2,7447915112,第34届日本金唱片大赏,179564
228,2019-11-08,259249381,叶洛洛,7,7289611354,快手老铁们都在听什么？,11356088
229,2020-06-10,3054828396,ㅤ,0,7233029979,粤语流行・90后的独家记忆,13504564
230,2020-10-30,3244932711,将离,0,7574442026,伤感丨偶尔需要 从未重要,1276080
231,2020-06-23,1152921505006098974,上善若水,0,7611863737,古风 | 星辰坠落大海不及你,16021837
232,2020-02-12,807250000,丢丢㊗️小人鱼20号生日快乐🎂,0,7418320825,有一种悲伤：笑着与你分开,19177406
233,2020-09-02,3405305245,曹操,0,7701477881,伤感片段:每次夜晚还是会想起她,3002339
234,2020-06-14,497697572,柠檬少年,0,7567257350,车载必备丨动感燃曲，精神无忧,29454533
235,2019-06-04,1653099231,不白,2,4246958569,【入耳沉醉】 猝不及防的心动,56286480
236,2018-03-19,1214673117,小攀哟,2,3787670938,评论999+的欧美歌曲（持续更新）,87134101
237,2020-09-03,458991666,飞行棋的猫mor,0,7703735540,伤感之季：终究成为熟悉的陌生人,1277052
238,2020-08-03,2020398259,niceee,0,7662200751,欧美｜致幻女嗓·致瘾电子,3072296
239,2019-09-10,2641188037,冲向KTV,0,7174020819,情怀老歌 | 陪伴你青春的人还在吗,9550898
240,2020-02-17,1083284863,北鹤,2,7407371797,人气爆棚！直播时爱听的热歌,24454583
241,2017-07-12,3050714894,风信子,2,2065383446,一首歌，让你重回港乐黄金年代,34026438
242,2019-09-12,2298105529,我又可以了,2,7199052129,流行经典 | 致80后的青春岁月,16685629
243,2018-04-01,3239619075,歌单狂魔,2,3806287274,你听得到 —— 周杰伦,159439256
244,2020-06-07,3380158609,Null,0,7591719847,粤语经典 ：哪首曾让你心动过？,6517418
245,2016-12-16,872386391,Rio,2,1141575907,[Vae]孤独时请享受来自许嵩的完美声线,22962697
246,2020-10-05,1659619968,♡.†ฅr̶ 盈涵丽雪,0,7738713759,【陈瑞】疗伤歌后的倾情演绎,741237
247,2020-10-02,1346006378,/ 砕城瑣倳 /,0,7734673983,绝致电子｜戴上耳机开启幻世模式,1257210
248,2017-05-23,244860443,Kiss Me,2,1762735983,游戏BGM: 辉煌时刻，带着激情去战斗！,10937126
249,2020-04-12,1756632996,挽歌.,0,7096345827,伤感 | 有人惊醒凌晨,4487789
250,2020-05-25,410284087,krystal,0,7576814962,华语精选 | 那些年我们最爱的歌,40185083
251,2018-04-10,1214673117,小攀哟,2,3822846160,「忘原唱系列」惊艳耳际，一秒倾心,63207454
252,2020-08-23,976006064,whosethatcat,0,7688758609,华语00-05｜穿越回校园时光,8928122
253,2017-07-12,3450463686,我的世界,2,2669638628,感激遇到你，不可错过的粤语歌,15033465
